TLALPAN,31,2,5/22/2013
VENUSTIANO CARRANZA,2,4,5/22/2013
VENUSTIANO CARRANZA,3,2,5/22/2013
XOCHIMILCO,32,1,5/22/2013
ALVARO OBREGON,17,6,5/23/2013
ALVARO OBREGON,18,5,5/23/2013
AZCAPOTZALCO,47,5,5/23/2013
AZCAPOTZALCO,19,4,5/23/2013
BENITO JUAREZ,12,7,5/23/2013
BENITO JUAREZ,51,4,5/23/2013
BENITO JUAREZ,10,1,5/23/2013
COYOACAN,20,13,5/23/2013
COYOACAN,49,4,5/23/2013
CUAJIMALPA DE MORELOS,21,4,5/23/2013
CUAUHTEMOC,0,6,5/23/2013
CUAUHTEMOC,8,2,5/23/2013
CUAUHTEMOC,1,2,5/23/2013
GUSTAVO A. MADERO,33,8,5/23/2013
GUSTAVO A. MADERO,13,7,5/23/2013
GUSTAVO A. MADERO,23,4,5/23/2013
GUSTAVO A. MADERO,22,2,5/23/2013
IZTACALCO,24,7,5/23/2013
IZTACALCO,34,5,5/23/2013
IZTAPALAPA,25,8,5/23/2013
IZTAPALAPA,26,5,5/23/2013
IZTAPALAPA,48,3,5/23/2013
IZTAPALAPA,40,1,5/23/2013
MAGDALENA CONTRERAS,27,9,5/23/2013
MIGUEL HIDALGO,9,4,5/23/2013
MIGUEL HIDALGO,11,2,5/23/2013
TLAHUAC,29,1,5/23/2013
TLALPAN,35,4,5/23/2013
TLALPAN,30,4,5/23/2013
TLALPAN,5,3,5/23/2013
TLALPAN,31,1,5/23/2013
VENUSTIANO CARRANZA,2,2,5/23/2013
VENUSTIANO CARRANZA,3,1,5/23/2013
XOCHIMILCO,32,11,5/23/2013
ALVARO OBREGON,38,10,5/24/2013
ALVARO OBREGON,18,6,5/24/2013
ALVARO OBREGON,17,4,5/24/2013
ALVARO OBREGON,46,1,5/24/2013
AZCAPOTZALCO,19,9,5/24/2013
AZCAPOTZALCO,36,4,5/24/2013
BENITO JUAREZ,51,8,5/24/2013
BENITO JUAREZ,10,6,5/24/2013
BENITO JUAREZ,45,3,5/24/2013
COYOACAN,20,13,5/24/2013
COYOACAN,37,4,5/24/2013
CUAJIMALPA DE MORELOS,21,10,5/24/2013
CUAJIMALPA DE MORELOS,44,5,5/24/2013
CUAUHTEMOC,0,8,5/24/2013
CUAUHTEMOC,8,5,5/24/2013
CUAUHTEMOC,7,4,5/24/2013
CUAUHTEMOC,1,4,5/24/2013
CUAUHTEMOC,14,1,5/24/2013
